databaseId	name	imageUrl	cardBack	type	attack	cost	faction	flavorText	force	hitPoints	mainText	quantity	resources	rewardText	targetValue	traits	unique	set
rb8	Tatooine	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Tatooine.png	rebelBase	Base			Rebel			14	When you reveal Tatooine, swap a card in the galaxy row with a Rebel card from the galaxy discard pile and gain 1 [resource].	1					1	core_set
rb9	Sullust	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Sullust.png	rebelBase	Base			Rebel			16	While Sullust is your base, place the first card you purchase each turn on top of your deck.	1					1	core_set
rcs1	Rebel Transport	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-RebelTransport.png	card	CapitalShip		2	Rebel	The first transport is away!		2	Choose: Repair 2 damage from your base, or gain 1 [resource].	2					0	core_set
rcs2	Hammerhead Corvette	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-HammerheadCorvette.png	card	CapitalShip		4	Rebel	Prepare for impact! –Kado Oquoné		4	Exile this capital ship to destroy a capital ship your opponent has in play, or an enemy capital ship in the galaxy row.	2	2				0	core_set
rcs3	Mon Calamari Cruiser	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-MonCalamariCruiser.png	card	CapitalShip	3	6	Rebel	The Mon Calamari cruiser packs an enormous punch and is capable of going head-to-head with an Imperial Star Destroyer.		6		2					0	core_set
rs1	Alliance Shuttle	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-AllianceShuttle.png	card	Unit		0	Rebel	Lightly armored and unarmed, Rebel supply ships typically require a fighter escort to traverse contested space.				7	1			Transport.	0	core_set
rs2	Rebel Trooper	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-RebelTrooper.png	card	Unit	2	0	Rebel	Drawn from various resistance cells, Rebel infantry are well-trained and highly motivated.				2				Trooper.	0	core_set
rs3	Temple Guardian	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-TempleGuardian.png	card	Unit		0	Rebel	The temple guardian's mask and robes symbolize their devotion to preserving the Jedi's legacy.			When you play Temple Guardian, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.	1				Rebel Starter	0	core_set
survivor_langskib	Survivor Langskib	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-SurvivorLangskib.jpg	mandalorian	Unit		3	Mandalorian	The langskib is used by Mandalorian remnants to travel the devastated surface of Mandalore.		3	Choose: Move the Force marker to the neutral space, or gain 3 [resource].	1		Gain 3 [resource].	3	Vehicle.	0	mandalorian
tattooine	Tatooine	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Tatooine.jpg	mandalorian	Base			Mandalorian			14	When you play a neutral card for the first time each turn, draw 1 card.	1					1	mandalorian
the_armorer	The Armorer	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-TheArmorer.jpg	mandalorian	Unit	3	6	Mandalorian			6	Repair 3 damage from your base (5 damage instead if the Force marker is on the neutral space).	1	3	Gain 3 [resource] and 3 [force].	9	Trooper.	1	mandalorian
the_mandalorian	The Mandalorian	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-TheMandalorian.jpg	mandalorian	Unit	5	5	Mandalorian			5	When The Mandalorian defeats a target in the galaxy row, choose a card in your discard pile. Place that card on top of your deck or exile it.	1		Gain 3 [resource] and 2 [force].	5	Bounty Hunter.	1	mandalorian
trask	Trask	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Trask.jpg	mandalorian	Base			Mandalorian			14	When you reveal Trask, choose a capital ship in the galaxy row. You can use your units to attack that ship this turn. If you destroy it, purchase it for free and add it to your hand.	1					1	mandalorian
tython	Tython	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Tython.jpg	mandalorian	Base			Mandalorian			14	When you reveal Tython, move the Force marker to the neutral space.	1				Seeing Stone.	0	mandalorian
