databaseId	name	imageUrl	cardBack	type	category	set	officialSet	brigade	strength	toughness	class	identifier	rarity	reference	alignment	legality	text	loadGroupId
AW__Lost_Soul_Romans_3_23_(Revealer)_(AW)	Lost Soul Romans 3:23 (Revealer)	redemption/aw/Redemption-AW-LostSoulRomans323Revealer.jpg	default	Lost Soul	Lost Soul	AW	Angel Wars						Rare	Romans 3:23	Neutral		When you draw this card, each opponent must reveal the top two cards of his draw pile.  Place each revealed Lost Soul in owner's Land of Bondage.  Place the rest beneath owner's draw pile.	playerNDeck
GoC__Lost-Soul-Harvest-Token	Lost Soul Token "Harvest" [John 4:35]	redemption/goc/Redemption-GoC-LostSoulTokenHarvestJohn435.jpg	default	Lost Soul Token	Token	GoC	Gospel of Christ Token					["Harvest"]	Token	John 4:35	Neutral	Rotation		playerNTokens
RR__Lost-Soul-Token-Lost-Souls	Lost Soul Token "Lost Souls" [Proverbs 2:16-17]	redemption/rr/Redemption-RR-LostSoulTokenLostSoulsProverbs21617.jpg	default	Lost Soul Token	Token	RR	Roots					["Lost Souls"]	Token	Proverbs 2:16-17	Neutral	Rotation		playerNTokens
Pmo-P2__Lost-Soul-Token-Majestic-Heavens-NT	Lost Soul Token NT (Majestic Heavens)	redemption/pmo-p2/Redemption-PmoP2-LostSoulTokenNTMajesticHeavens.jpg	default	Lost Soul Token	Token	Pmo-P2	Promo Token						Token	New Testament	Neutral	Rotation		playerNTokens
Pmo-P2__Lost-Soul-Token-Majestic-Heavens-OT	Lost Soul Token OT (Majestic Heavens)	redemption/pmo-p2/Redemption-PmoP2-LostSoulTokenOTMajesticHeavens.jpg	default	Lost Soul Token	Token	Pmo-P2	Promo Token						Token	Old Testament	Neutral	Rotation		playerNTokens
Main UL [Ban]__Lost_Souls_(Three_Liner)_(UL)	Lost Souls (Three Liner)	redemption/main-ul-ban/Redemption-MainULBan-LostSoulsThreeLiner.jpg	default	Lost Soul	Lost Soul	Main UL [Ban]	Main Unlimited						Rare	Proverbs 22:14	Neutral	Banned	This card counts as two Lost Souls.  It must be rescued twice by the same player to count.	playerNDeck
Main [Ban]__Lost_Souls_(Two_Liner)_(Li)	Lost Souls (Two Liner)	redemption/main-ban/Redemption-MainBan-LostSoulsTwoLiner.jpg	default	Lost Soul	Lost Soul	Main [Ban]	Main						Rare	Proverbs 22:14	Neutral	Banned	This card counts as two Lost Souls.  It must be rescued twice.	playerNDeck
Pat__Lot_(Pa)	Lot	redemption/pat/Redemption-Pat-Lot.jpg	default	Hero	Hero	Pat	Patriarchs	Red	2	2			Common	Genesis 13:1	Good		Cannot be blocked by Lot's Wife.	playerNDeck
FoM__033-Lot	Lot (FoM)	redemption/fom/Redemption-FoM-LotFoM.jpg	default	Hero	Hero	FoM	Fall of Man	Blue	2	2			Common	Genesis 13:1	Good	Rotation	If Abraham is in battle, you may withdraw Abraham or Lot to draw 2. If Lot is captured, you may add your Genesis Hero to battle. Cannot be interrupted.	playerNDeck
Wom__Lot's_Daughters_(Wo)	Lot's Daughters	redemption/wom/Redemption-Wom-LotsDaughters.jpg	default	Evil Character	Evil Character	Wom	Women	Black	2	2			Common	Genesis 19:30	Evil		Lot's Daughters gain 2/2 for each rescue attempt they successfully block.	playerNDeck
FoM__039-Lots-Daughters	Lot's Daughters (FoM)	redemption/fom/Redemption-FoM-LotsDaughtersFoM.jpg	default	Evil Character	Evil Character	FoM	Fall of Man	Black	2	2		Canaanite	Common	Genesis 19:30	Evil	Rotation	If blocking and opponent does not control an angel, you may give Lot's Daughters to opponent's territory to take a human Hero to your territory.	playerNDeck
Wom__Lots_Wife_(Wo)	Lot's Wife	redemption/wom/Redemption-Wom-LotsWife.jpg	default	Evil Character	Evil Character	Wom	Women	Black	3	3			Common	Genesis 19:26	Evil		May band with any Evil Character.	playerNDeck
FoM__104-Lots-Wife	Lot's Wife (FoM)	redemption/fom/Redemption-FoM-LotsWifeFoM.jpg	default	Evil Character	Evil Character	FoM	Fall of Man	Black	3	3		Canaanite	Legacy Rare	Genesis 19:26	Evil	Rotation	May band to an Evil Character.	playerNDeck
RR__150-Lots-Wife	Lot's Wife (Roots)	redemption/rr/Redemption-RR-LotsWifeRoots.jpg	default	Evil Character	Evil Character	RR	Roots	Black	3	3		Canaanite		Genesis 19:26	Evil	Rotation	May band to an Evil Character.	playerNDeck
TEC__Love_(EC)	Love (EC)	redemption/tec/Redemption-TEC-LoveEC.jpg	default	Good Enhancement	Good Enhancement	TEC	Early Church	Multi			Territory	Fruit of the Spirit	Ultra Rare	Galatians 5:22-23	Good	Rotation	Heal and convert your character to a Hero of any brigade. Place on that Hero: While this Hero is in battle, protect characters not in battle from special abilities on evil cards, except banding.	playerNDeck
Main__Love_(UL)	Love (L)	redemption/main/Redemption-Main-LoveL.jpg	default	Good Enhancement	Good Enhancement	Main	Main	Blue	2	2		Fruit of the Spirit	Common	Galatians 5:22-23	Good			playerNDeck
Pmo-P1__Love_(Promo)	Love (Promo)	redemption/pmo-p1/Redemption-PmoP1-LovePromo.jpg	default	Good Enhancement	Good Enhancement	Pmo-P1	Promo	Blue	2	2			Promo	New Testament	Good		If played on a Hero of */5 or less, Hero gains */10 for remainder of the battle.	playerNDeck
Main UL__Love_(UL)	Love (UL)	redemption/main-ul/Redemption-MainUL-LoveUL.jpg	default	Good Enhancement	Good Enhancement	Main UL	Main Unlimited	Blue	2	2		Fruit of the Spirit	Common	Galatians 5:22-23	Good			playerNDeck
Pat__Love_at_First_Sight_(Pa)	Love at First Sight	redemption/pat/Redemption-Pat-LoveAtFirstSight.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	White					Ultra Rare	Genesis 24:67	Good		Selected player must shuffle hand into draw pile and draw eight new cards.  May not be interrupted, negated, or prevented.	playerNDeck
LoC__LoC_149-Love-at-First-Sight-R	Love at First Sight (LoC)	redemption/loc/Redemption-LoC-LoveAtFirstSightLoC.jpg	default	Good Enhancement	Good Enhancement	LoC	Lineage of Christ	Blue/Red					Rare	Genesis 24:67	Good	Rotation	If used by a meek Hero, a player must shuffle their hand to draw 8. Cannot be negated by an evil card.	playerNDeck
Wom__Love_for_Rachel_(Wo)	Love for Rachel	redemption/wom/Redemption-Wom-LoveForRachel.jpg	default	Good Enhancement	Good Enhancement	Wom	Women	Green					Common	Genesis 29:20	Good		During this and following rescue attempts, Rachel may band with any male Hero.	playerNDeck
3E__Love_of_Jesus_(F)	Love of Jesus	redemption/3e/Redemption-3E-LoveOfJesus.jpg	default	Good Enhancement	Good Enhancement	3E	3rd Edition	Gold					Deck	Mark 10:15	Good		All Heroes gain 5/5 until the end of battle.	playerNDeck
10A__Love_of_Money_(G)	Love of Money	redemption/10a/Redemption-10A-LoveOfMoney.jpg	default	Evil Enhancement	Evil Enhancement	10A	10th Anniversary	Multi	3	3			Deck	I Timothy 6:10	Evil		Evil character may use enhancements of any/all evil brigades this battle.	playerNDeck
CoW (AB)__CoW_AB_N96-Love-of-Money	Love of Money (CoW AB)	redemption/cow-ab/Redemption-CoWAB-LoveOfMoneyCoWAB.jpg	default	Evil Enhancement	Evil Enhancement	CoW (AB)	Cloud of Witnesses (Alternate Border)	Multi			Territory		Common	Hebrews 13:5	Evil	Rotation	Place on your evil human: It may use any evil Enhancement. Cannot be negated.	playerNDeck
CoW__Love_of_Money_(CoW)	Love of Money (CoW)	redemption/cow/Redemption-CoW-LoveOfMoneyCoW.jpg	default	Evil Enhancement	Evil Enhancement	CoW	Cloud of Witnesses	Multi			Territory		Common	Hebrews 13:5	Evil	Rotation	Place on your evil human: It may use any evil Enhancement. Cannot be negated.	playerNDeck
GoC__078-Love-One-Another	Love One Another (GoC)	redemption/goc/Redemption-GoC-LoveOneAnotherGoC.jpg	default	Good Enhancement	Good Enhancement	GoC	Gospel of Christ	Clay/Purple	X	2	Star	X = # of your meek clay cards	Common	John 13:34	Good	Rotation	STAR: Discard an evil card from a Reserve. GE: Select up to X evil cards. Convert the selected humans and bounce the rest. Regardless of protect abilities if used by a meek Hero.	playerNDeck
CoW__Love_Righteousness_(CoW)	Love Righteousness	redemption/cow/Redemption-CoW-LoveRighteousness.jpg	default	Good Enhancement	Good Enhancement	CoW	Cloud of Witnesses	White			Territory	Involves Music	Common	Hebrews 1:9 (Psalm 45:7)	Good	Rotation	Search deck or discard pile for a white Hero.	playerNDeck
CoW (AB)__CoW_AB_N89-Love-Righteousness	Love Righteousness (CoW AB)	redemption/cow-ab/Redemption-CoWAB-LoveRighteousnessCoWAB.jpg	default	Good Enhancement	Good Enhancement	CoW (AB)	Cloud of Witnesses (Alternate Border)	White			Territory	Involves music	Common	Hebrews 1:9 (Psalm 45:7)	Good	Rotation	Search deck or discard pile for a white Hero.	playerNDeck
Main__Loyalty_of_Jonathan_(UL)	Loyalty of Jonathan (L)	redemption/main/Redemption-Main-LoyaltyOfJonathanL.jpg	default	Good Enhancement	Good Enhancement	Main	Main	Purple	2	2			Common	I Samuel 19:4	Good			playerNDeck
Main UL__Loyalty_of_Jonathan_(UL)	Loyalty of Jonathan (UL)	redemption/main-ul/Redemption-MainUL-LoyaltyOfJonathanUL.jpg	default	Good Enhancement	Good Enhancement	Main UL	Main Unlimited	Purple	2	2			Common	I Samuel 19:4	Good			playerNDeck
J__Loyalty_of_Ruth_(J)	Loyalty of Ruth (J)	redemption/j/Redemption-J-LoyaltyOfRuthJ.jpg	default	Good Enhancement	Good Enhancement	J	J	White	3	2			Deck	Ruth 1:16	Good	Rotation	Withdraw an Evil Character. You may draw 1.	playerNDeck
Pat__Loyalty_of_Ruth_(Pa)	Loyalty of Ruth (Pa)	redemption/pat/Redemption-Pat-LoyaltyOfRuthPa.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	White	3	2			Common	Ruth 1:16	Good		Hero gains first strike ability.	playerNDeck
K1P__K52-1P-Loyalty-to-David	Loyalty to David (1st Print - K)	redemption/k1p/Redemption-K1P-LoyaltyToDavid1stPrintK.jpg	default	Good Enhancement	Good Enhancement	K1P	K Starter (1st Print)	Green/Purple	2	4			Starter	I Samuel 20:33	Good	Rotation	Negate an evil card. Hero may band to an O.T. Hero.	playerNDeck
K__K54-Loyalty-to-David	Loyalty to David [K]	redemption/k/Redemption-K-LoyaltyToDavidK.jpg	default	Good Enhancement	Good Enhancement	K	K Starter	Green/Purple	2	4			Starter	I Samuel 20:33	Good	Rotation	Negate an evil card. Hero may band to an O.T. Hero.	playerNDeck
Ap__Luke_(Ap)	Luke	redemption/ap/Redemption-Ap-Luke.jpg	default	Hero	Hero	Ap	Apostles	Gold	9	10			Uncommon	Colossians 4:14-15	Good		Luke may heal one Hero or prevent one Hero, not himself, from being discarded.	playerNDeck
TEC__Luke_(EC)	Luke (EC)	redemption/tec/Redemption-TEC-LukeEC.jpg	default	Hero	Hero	TEC	Early Church	Clay	9	10		Missionary	Common	Colossians 4:14-15	Good	Rotation	Once per round, you may discard a clay card from hand to heal a clay Hero and search discard pile for a good Luke or Acts Enhancement and underdeck it.	playerNDeck
Pri__Lukewarm_(Pi)	Lukewarm	redemption/pri/Redemption-Pri-Lukewarm.jpg	default	Evil Enhancement	Evil Enhancement	Pri	Priests	Orange					Common	Revelation 3:15-16	Evil		Place on a Hero.  Negate that Hero's special ability while this card remains.  Negate all search and card drawing abilities used by that Hero.	playerNDeck
AW__Lurking_(AW)	Lurking	redemption/aw/Redemption-AW-Lurking.jpg	default	Evil Enhancement	Evil Enhancement	AW	Angel Wars	Multi					Rare	Psalm 56:6	Evil		Interrupt the battle and band one of your Evil Characters into battle from hand, territory, 'The Darkness', or from face down on a site.	playerNDeck
Pmo-P2__Promo_Lurking	Lurking (Promo)	redemption/pmo-p2/Redemption-PmoP2-LurkingPromo.jpg	default	Evil Enhancement	Evil Enhancement	Pmo-P2	Promo	Multi					Seasonal	Psalm 56:6	Evil	Rotation	Interrupt the battle. Evil Character may band to an Evil Character from hand, territory, set-aside area or Reserve.	playerNDeck
Ap__Lycaonia_(Ap)	Lycaonia	redemption/ap/Redemption-Ap-Lycaonia.jpg	default	Site	Site	Ap	Apostles	Green					Common	Acts 14:5-6	Neutral			playerNDeck
TEC__Lycaonia_(EC)	Lycaonia (EC)	redemption/tec/Redemption-TEC-LycaoniaEC.jpg	default	Site	Site	TEC	Early Church	Clay					Common	Acts 14:5-6	Neutral	Rotation	If opponent does not have a clay missionary in battle at the start of a rescue attempt at this Site, you may draw 1 or reveal opponent's hand.	playerNDeck
TEC__Lydia_(EC)	Lydia (EC)	redemption/tec/Redemption-TEC-LydiaEC.jpg	default	Hero	Hero	TEC	Early Church	Clay	5	4		Philippi	Common	Acts 16:14	Good	Rotation	Protected from capture. May use purple Enhancements. Cannot be interrupted.	playerNDeck
10A__Lydia_(H)	Lydia (H)	redemption/10a/Redemption-10A-LydiaH.jpg	default	Hero	Hero	10A	10th Anniversary	White	5	4		Philippi	Deck	Acts 16:14	Good		Lydia may use purple brigade enhancements.  Lydia is protected from capture.	playerNDeck
Wom__Lydia_(Wo)	Lydia (Wo)	redemption/wom/Redemption-Wom-LydiaWo.jpg	default	Hero	Hero	Wom	Women	White	5	4		Philippi	Common	Acts 16:14	Good		Lydia cannot be taken prisoner.	playerNDeck
War__Lying_in_Wait_(Wa)	Lying in Wait	redemption/war/Redemption-War-LyingInWait.jpg	default	Evil Enhancement	Evil Enhancement	War	Warriors	Pale Green	2	2			Uncommon	Jeremiah 5:26	Evil		Take an Evil Character from your hand and place it face down on an occupied site.  A rescue attempt at that site allows the character to band into battle.	playerNDeck
3E__Lying_Spirit_(F)	Lying Spirit	redemption/3e/Redemption-3E-LyingSpirit.jpg	default	Evil Character	Evil Character	3E	3rd Edition	Gray	4	3			Deck	I Kings 22:21-22	Evil		May band to any human Evil Character.	playerNDeck
10A__Lying_Unto_God_(G)	Lying Unto God	redemption/10a/Redemption-10A-LyingUntoGod.jpg	default	Evil Enhancement	Evil Enhancement	10A	10th Anniversary	Multi	2	3			Deck	Acts 5:4	Evil		Negate and discard an active artifact.	playerNDeck
RR__180-Lying-Unto-God	Lying Unto God (Roots)	redemption/rr/Redemption-RR-LyingUntoGodRoots.jpg	default	Evil Enhancement	Evil Enhancement	RR	Roots	Crimson	2	3				Acts 5:4	Evil	Rotation	Negate and discard an Artifact or a good Enhancement. Cannot be prevented.	playerNDeck
Ap__Lystra_(Ap)	Lystra	redemption/ap/Redemption-Ap-Lystra.jpg	default	Site	Site	Ap	Apostles	Red					Uncommon	Acts 14:19	Neutral		While blocking a rescue attempt at this site, Angry Mob gains 3/3 and cannot be converted.	playerNDeck
TEC__Lystra_(EC)	Lystra (EC)	redemption/tec/Redemption-TEC-LystraEC.jpg	default	Site	Site	TEC	Early Church	Clay					Common	Acts 14:19	Neutral	Rotation	Protect Angry Mob from capture and conversion. If Angry Mob is discarded, you may discard this Site intead.	playerNDeck
Ki__Mace_(Ki)	Mace (Ki)	redemption/ki/Redemption-Ki-MaceKi.jpg	default	Evil Enhancement	Evil Enhancement	Ki	Kings	Gold	3	2	Weapon		Uncommon	Proverbs 25:18	Evil		Discard one weapon-class enhancement on a Hero in battle.  This ability cannot be negated.	playerNDeck
War__Mace_(Wa)	Mace (Wa)	redemption/war/Redemption-War-MaceWa.jpg	default	Evil Enhancement	Evil Enhancement	War	Warriors	Gold	2	3			Uncommon	Proverbs 25:18	Evil		All Evil Enhancements with abilities of less than */3 are worth triple their face value until end of battle.	playerNDeck
Pri__Madness_(Pi)	Madness	redemption/pri/Redemption-Pri-Madness.jpg	default	Curse	Curse	Pri	Priests	Orange	1	5			Uncommon	Deuteronomy 28:28	Evil		If opponent's Hero is in battle, you may convert this card to an orange brigade Evil Character and add it to battle.  Cannot be interrupted.	playerNDeck
IR__013-Madness	Madness [IR]	redemption/ir/Redemption-IR-MadnessIR.jpg	default	Curse	Curse	IR	Israel's Rebellion	Brown/Orange	2	4			Common	Deuteronomy 28:28	Evil	Rotation	EE: Bounce a Hero. You may discard a random card from a Reserve. / A: You may reserve this card to reserve a Hero.	playerNDeck
TxP__Magic_Charms_(TxP)	Magic Charms	redemption/txp/Redemption-TxP-MagicCharms.jpg	default	Artifact	Artifact	TxP	Thesaurus ex Preteritus					May be activated on your Magician	Fixed	Ezekiel 13:20	Neutral		Protect your Magicians from capture and conversion. You may discard this card from your Magician during battle to capture up to two human Heroes.	playerNDeck
Pmo-P3__Magic-Charms-Regional	Magic Charms [2023 - Regional]	redemption/pmo-p3/Redemption-PmoP3-MagicCharms2023Regional.jpg	default	Artifact	Artifact	Pmo-P3	Promo						Regional	Ezekiel 13:20	Neutral	Rotation	You may discard this card to capture a Hero in a territory to a player. If attacked, you may play a magician from deck or Reserve.	playerNDeck
Di__Magicians'_Snakes_(Di)	Magicians' Snakes	redemption/di/Redemption-Di-MagiciansSnakes.jpg	default	Evil Enhancement	Evil Enhancement	Di	Disciples	Gold/Pale Green	1	5			Fixed	Exodus 7:12	Evil		Your magicians and Egyptians are immune to all Heroes and Dominants while this card is in battle.  Cannot be prevented.	playerNDeck
FoM__059-Magicians-Staves-R	Magicians' Staves/Magicians' Snakes	redemption/fom/Redemption-FoM-MagiciansStavesMagiciansSnakes.jpg	default	Artifact	Artifact	FoM	Fall of Man	Crimson/Gold	2	2		Begins as an Artifact, May be activated on a magician	Rare	Exodus 7:12	Evil	Rotation	If your magician or Egyptian blocks, you may underdeck an evil O.T. card from Reserve. While active on a magician and an Enhancement is in battle, you may convert this card to an animal and add it to battle.	playerNDeck
Di__Magnificat_(Di)	Magnificat	redemption/di/Redemption-Di-Magnificat.jpg	default	Good Enhancement	Good Enhancement	Di	Disciples	White	1	4		Hymn	Fixed	Luke 1:46-47	Good		Negate special abilities on characters.  If used by a musician or N.T. female, set aside an Evil Character Character in battle for 2 turns.	playerNDeck
GoC__152-Magnificat	Magnificat (GoC)	redemption/goc/Redemption-GoC-MagnificatGoC.jpg	default	Good Enhancement	Good Enhancement	GoC	Gospel of Christ	White	4	3	Star	Gospel, Involves music, Nativity	Common	Luke 1:46-47	Good	Rotation	STAR: Discard an evil card from a Reserve. / GE: If used by a Gospel Hero, interrupt the battle. Reserve all Evil Characters in battle. Cannot be prevented if used by Mary, Holy Virgin.	playerNDeck
GoC__125-Magnifying-Multitude	Magnifying Multitude (GoC)	redemption/goc/Redemption-GoC-MagnifyingMultitudeGoC.jpg	default	Hero	Hero	GoC	Gospel of Christ	Silver	12	12	Warrior, Star	[X = # of cards in hand] Angel, Generic, Gospel, Nativity	Common	Luke 2:13-14	Good	Rotation	STAR: Topdeck a nativity Hero from deck. / H: You may draw 2. Negate evil cards with toughness X or greater. Cannot be prevented.	playerNDeck
LoC__LoC_087-Mahalalel	Mahalalel, the Interpreter / Mahalalel (Blessed God) (LoC)	redemption/loc/Redemption-LoC-MahalalelTheInterpreterMahalalelBlessedGodLoC.jpg	default	Hero	Hero	LoC	Lineage of Christ	Blue (Blue/Red)	6(5)	8(6)	Star	Antediluvian	Common	Genesis 5:15	Good	Rotation	STAR: Discard an evil Enhancement. TOP: If you control a meek antediluvian, you may play a Lost Soul from a deck. Protect Lost Souls from evil cards. BOTTOM: Meek	playerNDeck
Ki__Maharai_(Ki)	Maharai (Ki)	redemption/ki/Redemption-Ki-MaharaiKi.jpg	default	Hero	Hero	Ki	Kings	White	6	2	Warrior		Uncommon	I Chronicles 27:13	Good		May band with any warrior class Hero with a reference from I Chronicles or II Samuel.	playerNDeck
War__Maharai_(Wa)	Maharai (Wa)	redemption/war/Redemption-War-MaharaiWa.jpg	default	Hero	Hero	War	Warriors	White	6	2			Uncommon	I Chronicles 27:13	Good		May band with any Hero in the Blue Brigade.	playerNDeck
Pmo-P2__Majestic-Heavens_(Promo)	Majestic Heavens (Promo)	redemption/pmo-p2/Redemption-PmoP2-MajesticHeavensPromo.jpg	default	Site	Site	Pmo-P2	Promo	Gold/Silver/White					Promo	Psalm 8	Neutral	Rotation	If a Lost Soul is put here, you may topdeck a card matching that Lost Soul's testament from Reserve to create a Lost Soul token in opponent's Land of Bondage.	playerNDeck
K1P__K49-1P-Make-Bricks	Make Bricks! (1st Print - K)	redemption/k1p/Redemption-K1P-MakeBricks1stPrintK.jpg	default	Evil Enhancement	Evil Enhancement	K1P	K Starter (1st Print)	Pale Green	4	2	Territory		Starter	Exodus 5:16	Evil	Rotation	You may take an evil card from Reserve or underdeck a Hero.	playerNDeck
K__K49-Make-Bricks	Make Bricks! [K]	redemption/k/Redemption-K-MakeBricksK.jpg	default	Evil Enhancement	Evil Enhancement	K	K Starter	Pale Green	4	2	Territory		Starter	Exodus 5:16	Evil	Rotation	You may topdeck an evil card from Reserve or underdeck a Hero.	playerNDeck
Prp__Malachi_(Pr)	Malachi	redemption/prp/Redemption-Prp-Malachi.jpg	default	Hero	Hero	Prp	Prophets	Red	7	5			Uncommon	Malachi 1:1-2	Good			playerNDeck
PoC__218-Malachi	Malachi (PoC)	redemption/poc/Redemption-PoC-MalachiPoC.jpg	default	Hero	Hero	PoC	Prophecies of Christ	Green	4	12		Minor Prophet, X = # of your minor prophets	Common	Malachi 1:1	Good	Rotation	(Star) Topdeck a Covenant from Reserve. (Hero) You may topdeck a * card from discard pile (or take it if X is 2 or greater). Cannot be negated if a Persian is in play.	playerNDeck
Pmo-P3__Malakh-the-Nameless-State	Malakh the Nameless [2023 - State]	redemption/pmo-p3/Redemption-PmoP3-MalakhTheNameless2023State.jpg	default	Hero	Hero	Pmo-P3	Promo	Blue/Silver	3	6		Angel	State	Genesis 32:26	Good	Rotation	You may take an O.T. Hero from deck or Reserve. Protect Heroes in battle from evil cards.	playerNDeck
Pri__Malchus_(Pi)	Malchus	redemption/pri/Redemption-Pri-Malchus.jpg	default	Evil Character	Evil Character	Pri	Priests	Black	2	4			Uncommon	John 18:10	Evil		If this character is discarded from battle, place him in opponent's Land of Bondage and treat as a Lost Soul.	playerNDeck
GoC__184-Malchus	Malchus (GoC)	redemption/goc/Redemption-GoC-MalchusGoC.jpg	default	Evil Character	Evil Character	GoC	Gospel of Christ	Black	2	1	Warrior, Star	Sadducee	Common	John 18:10	Evil	Rotation	STAR: Underdeck a meek Lost Soul. EC: ​​You may capture this card to a player to add a Sadducee from territory or Reserve to battle. Cannot be prevented if you control a meek Lost Soul.	playerNDeck
GoC__043-Man-with-Shriveled-Hand	Man with Withered Hand (GoC)	redemption/goc/Redemption-GoC-ManWithWitheredHandGoC.jpg	default	Hero/Evil Character	Hero	GoC	Gospel of Christ	Gold/Crimson	6	6		Generic	Common	Luke 6:8	Neutral	Rotation	You may reveal your hand. If you do, N.T. Enhancements used by this character cannot be negated.	playerNDeck
Prp__Manasseh_(Pr)	Manasseh	redemption/prp/Redemption-Prp-Manasseh.jpg	default	Evil Character	Evil Character	Prp	Prophets	Black	6	6			Uncommon	II Kings 21:6	Evil			playerNDeck
RR__043-Manasseh	Manasseh, the Calming (Roots)	redemption/rr/Redemption-RR-ManassehTheCalmingRoots.jpg	default	Hero	Hero	RR	Roots	Blue	1	2		Patriarch, Son of Jacob		Genesis 48:5	Good	Rotation	Opponent may underdeck an evil card from hand. If they do not, negate Evil Characters.	playerNDeck
LoC__LoC_045-Manasseh	Manasseh, the Humbled / Manasseh, the Wicked (LoC)	redemption/loc/Redemption-LoC-ManassehTheHumbledManassehTheWickedLoC.jpg	default	Hero/Evil Character	Hero	LoC	Lineage of Christ	Purple/Red/Brown/Pale Green	5(11)	11(5)	Warrior	King of Judah (King of Judah, Magician)	Common	II Chronicles 33:12/II Kings 20:21	Neutral	Rotation	HERO: May band to a red warrior or you may underdeck an Artifact. EC: If blocking, may band to an evil warrior or you may topdeck a meek Lost Soul.	playerNDeck
Prp__Manasseh's_Altar_(Pr)	Manasseh's Altar	redemption/prp/Redemption-Prp-ManassehsAltar.jpg	default	Evil Enhancement	Evil Enhancement	Prp	Prophets	Black					Common	II Kings 21:3	Evil		Evil Character repels White Brigade.	playerNDeck
FoM__127-Manassehs-Altar	Manasseh's Altar (FoM)	redemption/fom/Redemption-FoM-ManassehsAltarFoM.jpg	default	Artifact	Artifact	FoM	Fall of Man					Idol	Common	II Kings 21:4-5	Neutral	Rotation	Negate Covenants. You may banish your human with the smallest toughness. If you do, opponent must discard one of their good cards not in battle.	playerNDeck
Pat__Manna_(Pa)	Manna	redemption/pat/Redemption-Pat-Manna.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	Purple	2	2			Common	Exodus 16:14	Good		Holder's Heroes ignore Hunger and Without Food for remainder of game.	playerNDeck
PoC__032-Manna	Manna (PoC)	redemption/poc/Redemption-PoC-MannaPoC.jpg	default	Artifact	Artifact	PoC	Prophecies of Christ						Common	Exodus 1:4	Neutral	Rotation	(Star) Play a Hero from hand. (Artifact) You may draw 1 and topdeck this card to discard the bottom card of each opponent’s deck.	playerNDeck
2E__Mark_(DU)	Mark (D)	redemption/2e/Redemption-2E-MarkD.jpg	default	Hero	Hero	2E	2nd Edition	Blue	6	5			Deck	II Timothy 4:11	Good			playerNDeck
TEC__Mark_(EC)	Mark (EC)	redemption/tec/Redemption-TEC-MarkEC.jpg	default	Hero	Hero	TEC	Early Church	Clay	9	5		Missionary	Common	Acts 12:25	Good	Rotation	Protected from capture. May use Mark enhancements regardless of brigade. You may search discard pile for a good Mark Enhancement and underdeck it.	playerNDeck
Main__Mark_(UL)	Mark (L)	redemption/main/Redemption-Main-MarkL.jpg	default	Hero	Hero	Main	Main	Blue	4	4			Uncommon	II Timothy 4:11	Good			playerNDeck
Main UL__Mark_(UL)	Mark (UL)	redemption/main-ul/Redemption-MainUL-MarkUL.jpg	default	Hero	Hero	Main UL	Main Unlimited	Blue	4	4			Uncommon	II Timothy 4:11	Good			playerNDeck
RoJ (AB)__RoJ_AB_N14-Mark-of-the-Beast	Mark of the Beast (RoJ AB)	redemption/roj-ab/Redemption-RoJAB-MarkOfTheBeastRoJAB.jpg	default	Curse	Curse	RoJ (AB)	Revelation of John (Alternate Border)	Orange	0	6			Common	Revelation 13:16-17	Evil	Rotation	If opponent uses a good ability to draw or search, you may search deck for an evil card. If played during battle and you control a Revelation beast, you may discard this card to discard a Hero.	playerNDeck
RoJ__14-Mark-of-the-Beast	Mark of the Beast (RoJ)	redemption/roj/Redemption-RoJ-MarkOfTheBeastRoJ.jpg	default	Curse	Curse	RoJ	Revelation of John	Orange	0	6			Common	Revelation 13:16-17	Evil	Rotation	If opponent uses a good ability to draw or search, you may search deck for an evil card. If played during battle and you control a Revelation Beast, you may discard this card to discard a Hero.	playerNDeck
Di__Marketplace_(Di)	Marketplace	redemption/di/Redemption-Di-Marketplace.jpg	default	Site	Site	Di	Disciples	Purple					Fixed	Luke 7:32	Neutral		Each time an opponent uses a discard ability, you may exchange a card in hand with a generic N.T. human Evil Character Character of matching brigade in discard pile.	playerNDeck
LoC__LoC_013-Marriage-Covenant-R	Marriage Covenant (LoC)	redemption/loc/Redemption-LoC-MarriageCovenantLoC.jpg	default	Covenant	Covenant	LoC	Lineage of Christ	Red/White	2	1			Rare	Ruth 4:13	Good	Rotation	GE: Interrupt the battle. Hero may band to any number of O.T. humans. Cannot be negated if used by a meek Hero. ART: Resurrect a Ruth Hero.	playerNDeck
TxP__Martha_(TxP)	Martha (TxP)	redemption/txp/Redemption-TxP-MarthaTxP.jpg	default	Hero	Hero	TxP	Thesaurus ex Preteritus	Gold	5	4			Fixed	Luke 10:41-42	Good		Search deck for House in Bethany and put it in play. Each player must draw a card. May band to Lazarus. Cannot be interrupted.	playerNDeck
Wom__Martha_(Wo)	Martha (Wo)	redemption/wom/Redemption-Wom-MarthaWo.jpg	default	Hero	Hero	Wom	Women	Green	5	4			Common	Luke 10:41-42	Good			playerNDeck
